DatGeracaoConjuntoDados;MesReferencia;AnoReferencia;MdaPotenciaMW;MdaAcrescimoPotenciaMW
2026-01-01;12;1999;67946,00;,00
2026-01-01;12;2000;72299,00;4352,00
2026-01-01;12;2001;74876,00;2577,00
2026-01-01;12;2002;80314,90;5438,89
2026-01-01;12;2003;83807,25;3492,35
2026-01-01;12;2004;88629,01;4821,76
2026-01-01;12;2005;92865,52;4236,51
2026-01-01;12;2006;96294,46;3428,94
2026-01-01;12;2007;100352,44;4057,97
2026-01-01;12;2008;102609,72;2257,28
2026-01-01;12;2009;106301,12;3691,39
2026-01-01;12;2010;112399,63;6098,51
2026-01-01;12;2011;117134,72;4735,09
2026-01-01;12;2012;120609,26;3474,53
2026-01-01;12;2013;126754,65;6145,39
2026-01-01;12;2014;133635,47;6880,81
2026-01-01;12;2015;140271,64;6636,16
2026-01-01;12;2016;150135,73;9864,09
2026-01-01;12;2017;157112,17;6976,47
2026-01-01;12;2018;162726,67;5614,50
2026-01-01;12;2019;170026,52;7299,85
2026-01-01;12;2020;174659,51;4632,99
2026-01-01;12;2021;181532,73;6873,22
2026-01-01;12;2022;188980,89;7448,16
2026-01-01;12;2024;208825,21;19844,32
2026-01-01;12;2025;215935,93;7110,72
